,street,latitude,longitude,plz
2151,Wollbacherstrasse 52,47.5672552,7.620104599999999,4058
2152,Viaduktstrasse 33,47.5489215,7.5849164,4051
2153,Schalerstrasse 40,47.5475141,7.5736506,4054
2154,Pfeffingerstrasse 61,47.5434543,7.591160299999999,4053
2155,Gellertstrasse 30,47.5516137,7.609157799999999,4052
2156,Paradiesstrasse 31,47.5798063,7.6442188,4125
2157,Wasgenring 121,47.55967450000001,7.564845599999999,4055
2158,Sevogelstrasse 83,47.5489171,7.601776600000001,4052
2159,Immengasse 14,47.5665644,7.5799311,4056
2160,Furkastrasse 43,47.5478871,7.561629699999998,4054
2161,In den Ziegelhöfen 172,47.5450666,7.556522699999999,4054
2162,Gundeldingerstrasse 61,47.5439093,7.5820317,4053
2163,Grienstrasse 116,47.5594632,7.565440199999999,4055
2164,Im langen Loh 263,47.5473401,7.560114100000001,4054
2165,Lehenmattstrasse 252,47.5478637,7.6207559,4052
2166,Starenstrasse 11,47.5391451,7.586106,4059
2167,Angensteinerstrasse 7,47.5491308,7.6032783,4052
2168,Güterstrasse 278,47.5412578,7.5993624,4053
2169,Davidsbodenstrasse 56,47.5667852,7.575759,4056
2170,Eichenstrasse 44,47.55492960000001,7.5695774,4054
2171,Angensteinerstrasse 13,47.5492476,7.6034248,4052
2172,"Rennweg 15, 17,19",47.551422,7.604866299999999,4052
2173,Jägerstrasse 19,47.5685142,7.6019162,4058
2174,Rebgasse 25,47.5602434,7.5954189,4058
2175,Birsstrasse 80,47.5519565,7.6203182,4052
2176,Schertlingasse 4,47.5517736,7.5840899,4051
2177,Paradieshofstrasse 71,47.5494001,7.559733499999999,4054
2178,Oberwilerstrasse 110,47.5466576,7.575401899999999,4054
2179,Neubadstrasse 132,47.5473341,7.565706499999999,4054
2180,Drosselstrasse 50,47.5370949,7.5868415,4059
2181,Reinacherstrasse 88,47.5383292,7.603377799999999,4053
2182,Schliengerweg 22,47.5720351,7.595834099999998,4057
2183,"Innere Margarethenstrasse 24, 24A",47.5495584,7.5862094,4051
2184,Höhenweg 65,47.5452769,7.5793302,4053
2185,Güterstrasse 163,47.5443061,7.591022199999999,4053
2186,Pfarrgasse 11,47.5828077,7.5915956,4057
2187,Emanuel Büchel-Strasse 12,47.5501987,7.6132147,4052
2188,Angensteinerstrasse 31,47.5499118,7.6043169,4052
2189,Mostackerstrasse 18,47.5552214,7.581455499999999,4051
2190,Socinstrasse 23,47.5573274,7.5791079,4051
2191,Rittergasse 29,47.5551154,7.594023399999999,4051
2192,Lothringerstrasse 95,47.5693642,7.576168399999999,4056
2193,Eimeldingerweg 23,47.57239080000001,7.596341,4057
2194,Birsstrasse 104,47.5513076,7.6211928,4052
2195,Bläsiring 43,47.5686313,7.588414900000001,4057
2196,Hirzbrunnenschanze 53,47.5666576,7.616860099999999,4058
2197,Kapellenstrasse 28,47.5506704,7.602471100000001,4052
2198,Steinenvorstadt 58,47.551904,7.5876108,4051
2199,Stachelrain 16,47.5580325,7.605259299999999,4058
2200,Birsstrasse 46,47.5527324,7.6187931,4052
2201,Niklaus von Flüe-Strasse 33,47.5351659,7.5988088,4059
2202,Birmannsgasse 22,47.5577808,7.577184099999999,4055
2203,Knöringerstrasse 6,47.5633415,7.5670999,4055
2204,"Weiherhofstrasse 34, 34 A, 36",47.55066,7.558912800000001,4054
2205,Schillerstrasse 30,47.5432671,7.596645499999998,4053
2206,Riehenring 147,47.567999,7.597290099999999,4058
